name,image,url,title
ش,https://cdn.salla.sa/vXZPEy/6ab71001-3bd5-485b-90fa-82a14911d79b-500x500-HAQfyyVwPaQQ5TmMkve4WpgqCpRUTMJHDyVWyDpJ.jpg,https://elburoj.com/ar/قاطع-فرعي-c-curve-من-شنايدر-3-بول-63-امبير-acti9-ic60n-a9f44363/p784730027,"اشترِ قاطع فرعي A9F44363 من شنايدر 3 بول"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/6ab71001-3bd5-485b-90fa-82a14911d79b-500x500-HAQfyyVwPaQQ5TmMkve4WpgqCpRUTMJHDyVWyDpJ.jpg,https://elburoj.com/en/schneider-sub-breaker-3-lines-63-amps-acti9-ic60n-a9f44363-c-curve/p784730027,"Schneider Sub Breaker - 3 Lines - 63 Amps - ACTI9 iC60N A9F44363, C Curve"
ش,https://cdn.salla.sa/vXZPEy/09db62bf-1941-4337-9b03-164d63912d9a-500x500-AqzNA6aqTVpYTTuldVsHFPLzS68YIY4pbuAbWGdM.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-32-امبير-acti9-ic60n-a9f44132-c-curve/p2023958196,"اشترِ قاطع فرعي A9F44132 من شنايدر 1 بول"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/09db62bf-1941-4337-9b03-164d63912d9a-500x500-AqzNA6aqTVpYTTuldVsHFPLzS68YIY4pbuAbWGdM.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-32-amp-acti9-ic60n-a9f44132-c-curve/p2023958196,"Schneider Sub Breaker - 1 Line - 32 Amp - ACTI9 iC60N A9F44132, C Curve"
ش,https://cdn.salla.sa/vXZPEy/d2220a63-f113-45cd-870c-f0a74ef7e10f-500x500-GvpmdZHpaQVVMEdkdyHTjYyNKzsvtwpiw0V0Xqo8.jpg,https://elburoj.com/ar/لوحة-توزيع-كهربائية-ديسبو-من-شنايدر-12-بول-60-امبير-dbx312mez60/p609576118,"لوحة توزيع كهربائية ديسبو من شنايدر - 12 بول - 60 امبير - DBX312MEZ60"
ش,https://cdn.salla.sa/vXZPEy/56c4dada-65b7-4c19-8cce-9bb5bcbbc81d-500x500-bVlv3BVWiffhtdVA5vHpPgmTEEMNQFe9BRhhE3TZ.jpg,https://elburoj.com/ar/لوحة-توزيع-كهربائية-ريسبو-tpn-عمودية-من-شنايدر-42-بول-100-امبير-res342ez100/p1983087543,"اشترِ لوحة توزيع كهربائية ريسبو TPN عمودية من شنايدر 42 خط"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/56c4dada-65b7-4c19-8cce-9bb5bcbbc81d-500x500-bVlv3BVWiffhtdVA5vHpPgmTEEMNQFe9BRhhE3TZ.jpg,https://elburoj.com/en/schneider-respo-tpn-vertical-electrical-distribution-panel-42-lines-100-amps-res342ez100/p1983087543,"Schneider RESPO TPN Vertical Electrical Distribution Panel - 42 Lines - 100 Amps - RES342EZ100"
ش,https://cdn.salla.sa/vXZPEy/f2219794-e227-4304-869d-c5babe08b5c5-500x500-kqdqCktVlrbyXiXqCMtpKLYxN87RBCNwiupeAPnO.jpg,https://elburoj.com/ar/كونتاكتور-ثلاثي-القطب-من-شنايدر-440-فولت-حد-اقصى-32-امبير-tesys-d-contactor-lc1d32m/p501596593,"تسوق كونتاكتور ثلاثي القطب شنايدر 440 فولت 32 امبير"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/f2219794-e227-4304-869d-c5babe08b5c5-500x500-kqdqCktVlrbyXiXqCMtpKLYxN87RBCNwiupeAPnO.jpg,https://elburoj.com/en/schneider-3-pole-contactor-440-volts-maximum-32-amps-tesys-d-contactor-lc1d32m/p501596593,"Schneider 3 Pole Contactor - 440 Volts Maximum - 32 Amps - TeSys D Contactor LC1D32M"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/2d1985d3-acea-46c6-8b60-6caf6ea85d75-500x500-rVi0ZDCaAvyS8kJnYjf0hBg4GPdxSi9cijJEkzeD.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-10-امبير-acti9-ic60n-a9f44110-c-curve/p192163516,"قاطع فرعي من شنايدر - 1 بول - 10 امبير - ACTI9 iC60N A9F44110, C Curve"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/2d1985d3-acea-46c6-8b60-6caf6ea85d75-500x500-rVi0ZDCaAvyS8kJnYjf0hBg4GPdxSi9cijJEkzeD.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-10-amp-acti9-ic60n-a9f44110-c-curve/p192163516,"Schneider Sub Breaker - 1 Line - 10 Amp - ACTI9 iC60N A9F44110, C Curve"
